num," country"
0," English"
1," English"
2," French"
3," German"
4," Japan"
5," Russia and former USSR"
600," Iran"
601," Kazakhstan"
602," Indonesia"
603," Saudi Arabia"
604," Vietnam"
605," Turkey"
606," Romania"
607," Mexico"
608," Macedonia (FYR)"
609," Lithuania"
611," Thailand"
612," Peru"
613," Mauritius"
614," Lebanon"
615," Hungary"
616," Thailand"
617," Ukraine"
7," China"
80," Czech Republic"
81," India"
82," Norway"
83," Poland"
84," Spain"
85," Brazil"
86," Montenegro"
87," Denmark"
88," Italian"
89," South Korea"
90," Dutch/Flemish"
91," Sweden"
92," International organisations and non-profits"
93," India"
94," Dutch/Flemish"
950," Argentina"
951," Finland"
952," Finland"
953," Croatia"
954," Bulgaria"
955," Sri Lanka"
956," Chile"
957," Taiwan"
958," Colombia"
959," Cuba"
960," Greece"
961," Slovenia"
962," Hong Kong"
963," Hungary"
964," Iran"
965," Israel"
966," Ukraine"
967," Malaysia"
968," Mexico"
969," Pakistan"
970," Mexico"
971," Philippines"
972," Portugal"
973," Romania"
974," Thailand"
975," Turkey"
976," Caribbean"
977," Egypt"
978," Nigeria"
979," Indonesia"
980," Venezuela"
981," Singapore"
982," Pacific"
983," Malaysia"
984," Bangladesh"
985," Belarus"
986," Taiwan"
987," Argentina"
988," Hong Kong"
989," Portugal"
9927," Qatar"
9928," Albania"
9929," Guatemala"
9930," Costa Rica"
9931," Algeria"
9932," Laos"
9933," Syria"
9934," Latvia"
9935," Iceland"
9936," Afghanistan"
9937," Nepal"
9938," Tunisia"
9939," Armenia"
9940," Montenegro"
9941," Georgia"
9942," Ecuador"
9943," Uzbekistan"
9944," Turkey"
9945," Dominican Republic"
9946," North Korea"
9947," Algeria"
9948," United Arab Emirates"
9949," Estonia"
9950," Palestine (Palestinian Authority)"
9951," Kosovo"
9952," Azerbaijan"
9953," Lebanon"
9954," Morocco"
9955," Lithuania"
9956," Cameroon"
9957," Jordan"
9958," Bosnia and Herzegovina"
9959," Libya"
9960," Saudi Arabia"
9961," Algeria"
9962," Panama"
9963," Cyprus"
9964," Ghana"
9965," Kazakhstan"
9966," Kenya"
9967," Kyrgyzstan"
9968," Costa Rica"
9970," Uganda"
9971," Singapore"
9972," Peru"
9973," Tunisia"
9974," Uruguay"
9975," Moldova"
9976," Tanzania"
9977," Costa Rica"
9978," Ecuador"
9979," Iceland"
9980," Papua New Guinea"
9981," Morocco"
9982," Zambia"
9983," Gambia"
9984," Latvia"
9985," Estonia"
9986," Lithuania"
9987," Tanzania"
9988," Ghana"
9989," Macedonia"
99901," Bahrain"
99902," Gabon"
99903," Mauritius"
99904," Netherlands Antilles/Aruba"
99905," Bolivia"
99906," Kuwait"
99908," Malawi"
99909," Malta"
99910," Sierra Leone"
99911," Lesotho"
99912," Botswana"
99913," Andorra"
99914," Suriname"
99915," Maldives"
99916," Namibia"
99917," Brunei"
99918," Faroe Islands"
99919," Benin"
99920," Andorra"
99921," Qatar"
99922," Guatemala"
99923," El Salvador"
99924," Nicaragua"
99925," Paraguay"
99926," Honduras"
99927," Albania"
99928," Georgia"
99929," Mongolia"
99930," Armenia"
99931," Seychelles"
99932," Malta"
99933," Nepal"
99934," Dominican Republic"
99935," Haiti"
99936," Bhutan"
99937," Macau"
99938," Republika Srpska"
99939," Guatemala"
99940," Georgia"
99941," Armenia"
99942," Sudan"
99943," Albania"
99944," Ethiopia"
99945," Namibia"
99946," Nepal"
99947," Tajikistan"
99948," Eritrea"
99949," Mauritius"
99950," Cambodia"
99951," Congo Rep."
99952," Mali"
99953," Paraguay"
99954," Bolivia"
99955," Republika Srpska"
99956," Albania"
99957," Malta"
99958," Bahrain"
99959," Luxembourg"
99960," Malawi"
99961," El Salvador"
99962," Mongolia"
99963," Cambodia"
99964," Nicaragua"
99965," Macau"
99966," Kuwait"
99967," Paraguay"
99974," Bolivia"
99975," Tajikistan"
99989," Paraguay"
